"Position","User","User Channel","Content","Like Count","Published Time","Replies"
1,"@PabloPaulo-c7l","https://www.youtube.com/@PabloPaulo-c7l","The first person series is so peak",406,"4 months ago","·
4 replies"
2,"@Asunaut_da_astronaut","https://www.youtube.com/@Asunaut_da_astronaut","Now career in 1st person",137,"3 months ago",
3,"@ihatefortnitegamerremix","https://www.youtube.com/@ihatefortnitegamerremix","let this guy fly artemis 4",145,"1 month ago","4 replies"
4,"@KSPGUY","https://www.youtube.com/@KSPGUY","yessir we need more first person",162,"4 months ago","·
6 replies"
5,"@possiblymadds","https://www.youtube.com/@possiblymadds","PLEASE drop a modlist soon! Love this series, and the JSI props for the interiors are soso fun to play with(didnt realize I had it in my mod list until this week LOL)",60,"2 months ago","1 reply"
6,"@rabidmoonmonkey1090","https://www.youtube.com/@rabidmoonmonkey1090","i am begging for a modlist",40,"4 months ago",
7,"@Misu88","https://www.youtube.com/@Misu88","KSP is hilarious cause I'm afraid to death of going to Duna for the first time even though I'm advanced in the science tree and can easily make a wildly overpowered rocket, and then a guy on the internet will go there in first person, blindfolded and backwards",13,"1 month ago",
8,"@oliverandom6808","https://www.youtube.com/@oliverandom6808","First person IVA mod gives the game a whole other dimention. It lowkey makes me want to play a whole campaign mode just in first person with face radio sounds and everything.",18,"4 months ago",
9,"@JamesGiven-o3s","https://www.youtube.com/@JamesGiven-o3s","the cameras inside the cockpit were really cool, next time when your building the craft have a bucket list of things like

- heat shield on return capsule
-ladder on the lander

and an idea, since when you were on the night side of duna in the lander, and couldnt see the camera view since it was just black, add lights on parts of the ship next to where the cameras are, that way you can easier see the craft in camera views if its dark

i rlly like this series, can't wait for next video",31,"4 months ago","·
2 replies"
10,"@Tonybyn","https://www.youtube.com/@Tonybyn","Bro might be the actual first man on Mars wtf",2,"2 weeks ago",
